bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-420,edge_density,-0.17563083751606445,0.44635415400764294,21,19,2
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-420,chroma_complexity,-0.5205579528662239,0.015547894245480493,21,19,2
High (1.5-2.0),butteraugli,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.3920426920373186,0.07879737833306621,21,19,2
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-444,variance,0.10765635040912641,0.3971395141653138,64,56,8
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-444,edge_density,0.46654266534682454,0.00010200008090553315,64,56,8
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-444,chroma_complexity,-0.15305477454402355,0.22726472574455095,64,56,8
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.5782867491349297,5.604439665966734e-07,64,56,8
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-420,variance,0.041938532736312054,0.7546004651678326,58,56,2
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-420,edge_density,-0.3487086366856041,0.007304181129356405,58,56,2
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-420,chroma_complexity,-0.11577062031761437,0.3868167033700232,58,56,2
High (1.5-2.0),butteraugli,jpegli-444,mozjpeg-420,uniform_block_fraction,-0.16219041365801343,0.22383649412948953,58,56,2
High (1.5-2.0),butteraugli,mozjpeg-420,mozjpeg-444,variance,0.046421292537223026,0.89867196620186,10,2,8
High (1.5-2.0),butteraugli,mozjpeg-420,mozjpeg-444,edge_density,0.6972128875905693,0.025024407920203107,10,2,8
High (1.5-2.0),butteraugli,mozjpeg-420,mozjpeg-444,chroma_complexity,0.061235087660090406,0.8665494004036278,10,2,8
High (1.5-2.0),butteraugli,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.39303015978917166,0.261198525075703,10,2,8
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-420,variance,0.06292387791040119,0.6675430537499829,49,41,8
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-420,edge_density,-0.23471045208599178,0.10451976973376988,49,41,8
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-420,chroma_complexity,0.18423073372500295,0.20508278926680507,49,41,8
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-420,uniform_block_fraction,0.07982659376732029,0.5855937609517855,49,41,8
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-444,variance,0.2623494216731784,0.04866724412607872,57,41,16
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-444,edge_density,0.15361054607552965,0.25394184744405657,57,41,16
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-444,chroma_complexity,-0.14872912249110046,0.269524590279558,57,41,16
Very High (2.0-3.0),ssimulacra2,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.4955722839496554,8.869719911522176e-05,57,41,16
Very High (2.0-3.0),ssimulacra2,mozjpeg-420,mozjpeg-444,variance,0.25796453250400064,0.22359349181055438,24,8,16
Very High (2.0-3.0),ssimulacra2,mozjpeg-420,mozjpeg-444,edge_density,0.3109662076105085,0.13912753313477527,24,8,16
Very High (2.0-3.0),ssimulacra2,mozjpeg-420,mozjpeg-444,chroma_complexity,-0.3618920922006997,0.08226110363230646,24,8,16
Very High (2.0-3.0),ssimulacra2,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.49511612991865234,0.013896738728382853,24,8,16
Very High (2.0-3.0),ssimulacra2,jpegli-420,jpegli-444,variance,-0.4065248210712307,0.0012680739091453328,60,19,41
Very High (2.0-3.0),ssimulacra2,jpegli-420,jpegli-444,edge_density,0.1673810089580817,0.2011457910281127,60,19,41
Very High (2.0-3.0),ssimulacra2,jpegli-420,jpegli-444,chroma_complexity,-0.29265168209056097,0.023261494545285637,60,19,41
Very High (2.0-3.0),ssimulacra2,jpegli-420,jpegli-444,uniform_block_fraction,-0.1957004348284296,0.1339949147767647,60,19,41
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-420,variance,-0.49566044200741555,0.008560890278261447,27,19,8
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-420,edge_density,-0.04420143188745465,0.8267154544605756,27,19,8
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-420,chroma_complexity,-0.08390191396324212,0.6773567867311343,27,19,8
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.10985320273122125,0.5854377171158346,27,19,8
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-444,variance,-0.20137113995127515,0.24605199604402522,35,19,16
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-444,edge_density,0.23790514090583043,0.16875870948288066,35,19,16
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-444,chroma_complexity,-0.45349355822099835,0.006218521664477231,35,19,16
Very High (2.0-3.0),ssimulacra2,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.6157964208008406,8.225237774644643e-05,35,19,16
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-420,variance,0.007072293770376068,0.9543547414470781,68,64,4
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-420,edge_density,0.21181447820068589,0.08291478705317055,68,64,4
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-420,chroma_complexity,0.2129004868120099,0.08131295040112634,68,64,4
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-420,uniform_block_fraction,-0.2614731820043562,0.0312550473504166,68,64,4
Very High (2.0-3.0),butteraugli,jpegli-444,mozjpeg-444,variance,0.10320681204299158,0.40591214849098955,67,64,3
