z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
42,0.007675733662236905,336,mozjpeg-420,42.26190476190476,68,3,142,5,20.238095238095237,0.8928571428571428,42.26190476190476,1.488095238095238,33.63095238095239,1.488095238095238,46508.82142857143,51087.21130952381,44058.66071428572,52937.02976190476,21.13095238095238,78.86904761904762
43,0.00747955935188752,336,mozjpeg-420,41.36904761904761,71,2,139,5,21.13095238095238,0.5952380952380952,41.36904761904761,1.488095238095238,33.92857142857143,1.488095238095238,47306.294642857145,51816.6875,44809.65773809524,53697.669642857145,21.726190476190474,78.27380952380952
44,0.007288398811131315,336,mozjpeg-420,41.66666666666667,58,3,140,5,17.261904761904763,0.8928571428571428,41.66666666666667,1.488095238095238,37.202380952380956,1.488095238095238,48147.255952380954,52892.22023809524,45754.33630952381,54610.880952380954,18.154761904761905,81.8452380952381
45,0.007102123899410594,336,mozjpeg-420,39.58333333333333,65,3,133,5,19.345238095238095,0.8928571428571428,39.58333333333333,1.488095238095238,37.202380952380956,1.488095238095238,49034.66071428572,53646.28571428572,46388.76190476191,55689.63690476191,20.238095238095237,79.76190476190476
46,0.006920609751149134,336,mozjpeg-420,38.392857142857146,67,5,129,5,19.940476190476193,1.488095238095238,38.392857142857146,1.488095238095238,37.202380952380956,1.488095238095238,50916.880952380954,54526.044642857145,47163.44940476191,56623.63988095238,21.42857142857143,78.57142857142858
47,0.006743734692051101,336,mozjpeg-420,40.17857142857143,61,4,135,4,18.154761904761905,1.1904761904761905,40.17857142857143,1.1904761904761905,37.797619047619044,1.488095238095238,51868.919642857145,55400.75892857143,47964.19940476191,57768.52380952381,19.345238095238095,80.6547619047619
48,0.006571380157539179,336,mozjpeg-420,41.66666666666667,58,2,140,4,17.261904761904763,0.5952380952380952,41.66666666666667,1.1904761904761905,37.797619047619044,1.488095238095238,52627.94047619047,57103.830357142855,48802.6875,58618.36309523809,17.857142857142858,82.14285714285714
49,0.006403430613277219,336,mozjpeg-420,40.773809523809526,63,2,137,3,18.75,0.5952380952380952,40.773809523809526,0.8928571428571428,37.202380952380956,1.7857142857142856,53651.24107142857,57967.44940476191,49744.07738095238,59705.41071428572,19.345238095238095,80.65476190476191
50,0.006239773477724172,336,mozjpeg-420,41.36904761904761,56,4,139,4,16.666666666666664,1.1904761904761905,41.36904761904761,1.1904761904761905,37.797619047619044,1.7857142857142856,54557.78273809524,59027.68452380953,50560.818452380954,60826.482142857145,17.857142857142854,82.14285714285714
51,0.006080299046667351,336,mozjpeg-420,39.285714285714285,62,3,132,3,18.452380952380953,0.8928571428571428,39.285714285714285,0.8928571428571428,38.98809523809524,1.488095238095238,55538.375,59904.42261904762,51396.96428571428,61751.74702380953,19.345238095238095,80.65476190476191
52,0.005924900419684459,336,mozjpeg-max-420,41.964285714285715,57,4,125,3,16.964285714285715,1.1904761904761905,37.202380952380956,0.8928571428571428,41.964285714285715,1.7857142857142856,56541.86309523809,61030.54761904762,52196.19047619047,63208.794642857145,18.154761904761905,81.84523809523812
53,0.005773473428485074,336,mozjpeg-max-420,41.66666666666667,52,5,129,4,15.476190476190476,1.488095238095238,38.392857142857146,1.1904761904761905,41.66666666666667,1.7857142857142856,57314.57142857143,61787.083333333336,52997.11011904762,64485.99702380953,16.964285714285715,83.03571428571429
54,0.005625916567083568,336,mozjpeg-420,39.285714285714285,59,4,132,5,17.559523809523807,1.1904761904761905,39.285714285714285,1.488095238095238,38.98809523809524,1.488095238095238,58427.46726190476,62862.705357142855,54111.46428571428,65511.625,18.749999999999996,81.25
