z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
47,4.60705708964357,336,jpegli-420,41.964285714285715,141,55,76,3,41.964285714285715,16.36904761904762,22.61904761904762,0.8928571428571428,16.36904761904762,1.7857142857142856,49802.3831775701,52877.205357142855,54216.4263322884,63454.5,58.333333333333336,41.666666666666664
48,4.542507979015459,336,jpegli-420,43.75,147,50,69,4,43.75,14.880952380952381,20.535714285714285,1.1904761904761905,17.261904761904763,2.380952380952381,50481.13125,53616.44642857143,56422.990595611285,64793.84821428572,58.63095238095238,41.36904761904762
49,4.478863260844792,336,jpegli-420,42.857142857142854,144,48,66,4,42.857142857142854,14.285714285714285,19.642857142857142,1.1904761904761905,18.75,3.273809523809524,52398.490625,54209.666666666664,57536.64779874214,66343.96428571429,57.14285714285714,42.857142857142854
50,4.416110263760742,336,jpegli-420,44.94047619047619,151,49,59,4,44.94047619047619,14.583333333333334,17.559523809523807,1.1904761904761905,18.452380952380953,3.273809523809524,53478.403125,55053.291666666664,59204.3679245283,68565.65773809524,59.523809523809526,40.476190476190474
51,4.354236493930058,336,jpegli-420,46.42857142857143,156,55,54,4,46.42857142857143,16.36904761904762,16.071428571428573,1.1904761904761905,17.261904761904763,2.6785714285714284,54280.36363636364,55938.76488095238,60491.46835443038,70438.15178571429,62.79761904761905,37.202380952380956
52,4.29322963256959,336,jpegli-420,47.023809523809526,158,56,54,4,47.023809523809526,16.666666666666664,16.071428571428573,1.1904761904761905,16.36904761904762,2.6785714285714284,54923.230283911675,56887.31547619047,62032.452229299364,72337.26190476191,63.69047619047619,36.30952380952381
53,4.233077533493678,336,jpegli-420,49.404761904761905,166,57,52,4,49.404761904761905,16.964285714285715,15.476190476190476,1.1904761904761905,14.880952380952381,2.083333333333333,54858.3873015873,57697.333333333336,64307.86624203822,74075.61607142857,66.36904761904762,33.63095238095239
54,4.173768220695909,336,jpegli-420,47.32142857142857,159,58,51,3,47.32142857142857,17.261904761904763,15.178571428571427,0.8928571428571428,17.261904761904763,2.083333333333333,56022.44761904762,58593.84226190476,67094.34713375797,76310.80952380953,64.58333333333333,35.416666666666664
55,4.115289885964738,336,jpegli-420,49.107142857142854,165,61,45,3,49.107142857142854,18.154761904761905,13.392857142857142,0.8928571428571428,16.071428571428573,2.380952380952381,57406.02229299363,59367.482142857145,69205.28846153847,78845.22916666667,67.26190476190476,32.73809523809524
56,4.057630886532535,336,jpegli-420,49.107142857142854,165,64,42,4,49.107142857142854,19.047619047619047,12.5,1.1904761904761905,16.071428571428573,2.083333333333333,58488.96178343949,60705.84226190476,72005.60256410256,80577.53571428571,68.1547619047619,31.845238095238095
57,4.000779742757564,336,jpegli-420,50.595238095238095,170,72,36,4,50.595238095238095,21.428571428571427,10.714285714285714,1.1904761904761905,14.285714285714285,1.7857142857142856,59869.53184713376,61643.75892857143,71871.75562700964,82948.00297619047,72.02380952380952,27.976190476190474
58,3.944725135838434,336,jpegli-420,51.78571428571429,174,69,40,5,51.78571428571429,20.535714285714285,11.904761904761903,1.488095238095238,12.5,1.7857142857142856,62011.46496815287,62949.24702380953,71457.0193548387,84278.82142857143,72.32142857142858,27.678571428571423
59,3.889455905560581,336,jpegli-420,50.297619047619044,169,69,45,3,50.297619047619044,20.535714285714285,13.392857142857142,0.8928571428571428,12.5,2.380952380952381,61666.52243589744,63813.67559523809,72688.39285714286,86274.66666666667,70.83333333333333,29.166666666666664
60,3.8349610480743217,336,jpegli-420,50.595238095238095,170,73,43,3,50.595238095238095,21.726190476190478,12.797619047619047,0.8928571428571428,11.904761904761903,2.083333333333333,62965.94174757282,64952.67559523809,74799.97068403909,89201.15178571429,72.32142857142857,27.678571428571427
61,3.7812297137040334,336,jpegli-420,47.023809523809526,158,84,42,2,47.023809523809526,25.0,12.5,0.5952380952380952,12.797619047619047,2.083333333333333,64051.146103896106,65837.125,77702.14983713355,91784.60416666667,72.02380952380952,27.976190476190474
62,3.7282512047880387,336,jpegli-420,52.083333333333336,175,76,34,2,52.083333333333336,22.61904761904762,10.119047619047619,0.5952380952380952,12.797619047619047,1.7857142857142856,65038.15909090909,66785.80952380953,76665.03278688525,93648.51190476191,74.70238095238096,25.297619047619044
63,3.676014973548744,336,jpegli-420,54.46428571428571,183,70,34,2,54.46428571428571,20.833333333333336,10.119047619047619,0.5952380952380952,11.904761904761903,2.083333333333333,66193.37987012987,68018.34226190476,76312.75,96265.92559523809,75.29761904761904,24.70238095238095
64,3.6245106199926336,336,jpegli-420,56.845238095238095,191,77,31,2,56.845238095238095,22.916666666666664,9.226190476190476,0.5952380952380952,8.035714285714286,2.380952380952381,68104.14657980455,69098.68452380953,78282.88486842105,97985.25892857143,79.76190476190476,20.238095238095237
65,3.5737278898396707,336,jpegli-420,60.416666666666664,203,72,24,1,60.416666666666664,21.428571428571427,7.142857142857142,0.2976190476190476,8.630952380952381,2.083333333333333,67033.88235294117,70601.60714285714,80891.58085808581,101522.01785714286,81.84523809523809,18.1547619047619
66,3.5236566724817204,336,jpegli-420,59.523809523809526,200,71,27,1,59.523809523809526,21.13095238095238,8.035714285714286,0.2976190476190476,9.226190476190476,1.7857142857142856,67412.59868421052,72608.89880952382,82145.3476821192,101670.34328358209,80.6547619047619,19.345238095238095
67,3.4742869989695784,336,jpegli-420,59.226190476190474,199,75,26,0,59.226190476190474,22.321428571428573,7.738095238095238,0.0,8.928571428571429,1.7857142857142856,68929.42105263157,73663.25,83940.69767441861,103922.69161676646,81.54761904761905,18.452380952380953
68,3.4256090400281916,336,jpegli-420,57.44047619047619,193,81,28,0,57.44047619047619,24.107142857142858,8.333333333333332,0.0,7.738095238095238,2.380952380952381,70576.95394736843,74642.74404761905,84206.29194630873,106884.82934131737,81.54761904761905,18.45238095238095
69,3.3776131040997,336,jpegli-420,56.547619047619044,190,88,28,1,56.547619047619044,26.190476190476193,8.333333333333332,0.2976190476190476,6.25,2.380952380952381,70096.86,75863.48214285714,86594.14141414141,109788.76506024097,82.73809523809524,17.26190476190476
70,3.3302896354138904,336,jpegli-420,55.952380952380956,188,96,23,1,55.952380952380956,28.57142857142857,6.845238095238096,0.2976190476190476,6.547619047619048,1.7857142857142856,72409.88926174496,77073.20833333333,88790.43243243243,111469.92469879518,84.52380952380952,15.476190476190478
71,3.283629212085684,336,jpegli-420,57.14285714285714,192,91,24,1,57.14285714285714,27.083333333333332,7.142857142857142,0.2976190476190476,7.142857142857142,1.1904761904761905,73383.55555555556,78689.58630952382,91064.16610169492,114916.8580060423,84.22619047619047,15.773809523809522
